Time;MoteID;State;Value;TotalTicks;Permil
60024000;10;CPU;4200;  60000000 ;0
60024000;10;LPM;59995800;  60000000 ;999
60024000;10;Deep LPM;0;  60000000 ;0
60024000;10;Radio Tx;0;  60000000 ;0
60024000;10;Radio Rx;60000000;  60000000 ;1000
60024000;10;Radio total;60000000;  60000000 ;1000
60132000;13;CPU;0;  60000000 ;0
60132000;13;LPM;60000000;  60000000 ;1000
60132000;13;Deep LPM;0;  60000000 ;0
60132000;13;Radio Tx;0;  60000000 ;0
60132000;13;Radio Rx;60000000;  60000000 ;1000
60132000;13;Radio total;60000000;  60000000 ;1000
60256000;7;CPU;0;  60000000 ;0
60256000;7;LPM;60000000;  60000000 ;1000
60256000;7;Deep LPM;0;  60000000 ;0
60256000;7;Radio Tx;0;  60000000 ;0
60256000;7;Radio Rx;60000000;  60000000 ;1000
60256000;7;Radio total;60000000;  60000000 ;1000
60409000;9;CPU;0;  60000000 ;0
60409000;9;LPM;60000000;  60000000 ;1000
60409000;9;Deep LPM;0;  60000000 ;0
60409000;9;Radio Tx;0;  60000000 ;0
60409000;9;Radio Rx;60000000;  60000000 ;1000
60409000;9;Radio total;60000000;  60000000 ;1000
60426000;11;CPU;1000;  60000000 ;0
60426000;11;LPM;59999000;  60000000 ;999
60426000;11;Deep LPM;0;  60000000 ;0
60426000;11;Radio Tx;0;  60000000 ;0
60426000;11;Radio Rx;60000000;  60000000 ;1000
60426000;11;Radio total;60000000;  60000000 ;1000
60433000;3;CPU;0;  60000000 ;0
60433000;3;LPM;60000000;  60000000 ;1000
60433000;3;Deep LPM;0;  60000000 ;0
60433000;3;Radio Tx;0;  60000000 ;0
60433000;3;Radio Rx;60000000;  60000000 ;1000
60433000;3;Radio total;60000000;  60000000 ;1000
60455000;1;CPU;3000;  60000000 ;0
60455000;1;LPM;59997000;  60000000 ;999
60455000;1;Deep LPM;0;  60000000 ;0
60455000;1;Radio Tx;15712;  60000000 ;0
60455000;1;Radio Rx;1613432;  60000000 ;26
60455000;1;Radio total;1629144;  60000000 ;27
60529000;5;CPU;0;  60000000 ;0
60529000;5;LPM;60000000;  60000000 ;1000
60529000;5;Deep LPM;0;  60000000 ;0
60529000;5;Radio Tx;0;  60000000 ;0
60529000;5;Radio Rx;60000000;  60000000 ;1000
60529000;5;Radio total;60000000;  60000000 ;1000
60599020;12;CPU;3128;  60000020 ;0
60599020;12;LPM;59996892;  60000020 ;999
60599020;12;Deep LPM;0;  60000020 ;0
60599020;12;Radio Tx;2112;  60000020 ;0
60599020;12;Radio Rx;32417928;  60000020 ;540
60599020;12;Radio total;32420040;  60000020 ;540
60871000;6;CPU;0;  60000000 ;0
60871000;6;LPM;60000000;  60000000 ;1000
60871000;6;Deep LPM;0;  60000000 ;0
60871000;6;Radio Tx;0;  60000000 ;0
60871000;6;Radio Rx;60000000;  60000000 ;1000
60871000;6;Radio total;60000000;  60000000 ;1000
60963000;4;CPU;0;  60000000 ;0
60963000;4;LPM;60000000;  60000000 ;1000
60963000;4;Deep LPM;0;  60000000 ;0
60963000;4;Radio Tx;0;  60000000 ;0
60963000;4;Radio Rx;60000000;  60000000 ;1000
60963000;4;Radio total;60000000;  60000000 ;1000
60997000;2;CPU;0;  60000000 ;0
60997000;2;LPM;60000000;  60000000 ;1000
60997000;2;Deep LPM;0;  60000000 ;0
60997000;2;Radio Tx;0;  60000000 ;0
60997000;2;Radio Rx;60000000;  60000000 ;1000
60997000;2;Radio total;60000000;  60000000 ;1000
120024000;10;CPU;1200;  60000000 ;0
120024000;10;LPM;59998800;  60000000 ;999
120024000;10;Deep LPM;0;  60000000 ;0
120024000;10;Radio Tx;0;  60000000 ;0
120024000;10;Radio Rx;60000000;  60000000 ;1000
120024000;10;Radio total;60000000;  60000000 ;1000
120132000;13;CPU;0;  60000000 ;0
120132000;13;LPM;60000000;  60000000 ;1000
120132000;13;Deep LPM;0;  60000000 ;0
120132000;13;Radio Tx;0;  60000000 ;0
120132000;13;Radio Rx;60000000;  60000000 ;1000
120132000;13;Radio total;60000000;  60000000 ;1000
120256000;7;CPU;0;  60000000 ;0
120256000;7;LPM;60000000;  60000000 ;1000
120256000;7;Deep LPM;0;  60000000 ;0
120256000;7;Radio Tx;0;  60000000 ;0
120256000;7;Radio Rx;60000000;  60000000 ;1000
120256000;7;Radio total;60000000;  60000000 ;1000
120409000;9;CPU;1576;  60000000 ;0
120409000;9;LPM;59998424;  60000000 ;999
120409000;9;Deep LPM;0;  60000000 ;0
120409000;9;Radio Tx;0;  60000000 ;0
120409000;9;Radio Rx;60000000;  60000000 ;1000
120409000;9;Radio total;60000000;  60000000 ;1000
120426000;11;CPU;1600;  60000000 ;0
120426000;11;LPM;59998400;  60000000 ;999
120426000;11;Deep LPM;0;  60000000 ;0
120426000;11;Radio Tx;0;  60000000 ;0
120426000;11;Radio Rx;60000000;  60000000 ;1000
120426000;11;Radio total;60000000;  60000000 ;1000
120433000;3;CPU;0;  60000000 ;0
120433000;3;LPM;60000000;  60000000 ;1000
120433000;3;Deep LPM;0;  60000000 ;0
120433000;3;Radio Tx;0;  60000000 ;0
120433000;3;Radio Rx;60000000;  60000000 ;1000
120433000;3;Radio total;60000000;  60000000 ;1000
120455000;1;CPU;8000;  60000000 ;0
120455000;1;LPM;59992000;  60000000 ;999
120455000;1;Deep LPM;0;  60000000 ;0
120455000;1;Radio Tx;33888;  60000000 ;0
120455000;1;Radio Rx;1603220;  60000000 ;26
120455000;1;Radio total;1637108;  60000000 ;27
120529000;5;CPU;0;  60000000 ;0
120529000;5;LPM;60000000;  60000000 ;1000
120529000;5;Deep LPM;0;  60000000 ;0
120529000;5;Radio Tx;0;  60000000 ;0
120529000;5;Radio Rx;60000000;  60000000 ;1000
120529000;5;Radio total;60000000;  60000000 ;1000
120599000;12;CPU;13000;  59999980 ;0
120599000;12;LPM;59986980;  59999980 ;999
120599000;12;Deep LPM;0;  59999980 ;0
120599000;12;Radio Tx;40032;  59999980 ;0
120599000;12;Radio Rx;1635964;  59999980 ;27
120599000;12;Radio total;1675996;  59999980 ;27
120871000;6;CPU;0;  60000000 ;0
120871000;6;LPM;60000000;  60000000 ;1000
120871000;6;Deep LPM;0;  60000000 ;0
120871000;6;Radio Tx;0;  60000000 ;0
